Protein.Group	Protein.Names	Genes	First.Protein.Description	C:\Users\Administrator\Desktop\HYC\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01\MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01.mzML
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	1.52676e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	2.89231e+06
A0A131MBU3	IRG7_CAEEL	irg-7	Protein irg-7	1.79723e+07
A0A1C3NSL9	AJM1_CAEEL	ajm-1	Apical junction molecule	1.44402e+07
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	3.4846e+06
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	2.34739e+07
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	1.5784e+07
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	7.4207e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	4.00942e+06
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	9.19333e+06
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;Q13065;Q13069;Q13070;Q4V321;Q4V326	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE5;GAGE6;GAGE7	G antigen 12B/C/D/E	9.71313e+06
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	831280
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2.19486e+06
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6.01287e+06
A3QMC8	GMPPB_CAEEL	tag-335	Mannose-1-phosphate guanyltransferase beta	1.14274e+07
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	1.20954e+06
A4D2G3	O2A25_HUMAN	OR2A25	Olfactory receptor 2A25	6.22511e+06
A5JYX5	DHS3_CAEEL	dhs-3	Protein dhs-3	3.73307e+06
A5JYX8	NCLN_CAEEL	nra-2	Nicalin	9.91039e+06
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	4.32047e+07
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1.54666e+07
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	5.07623e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1.85287e+07
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	6.05851e+06
A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1	3.36985e+06
A6NFN3	RFOX3_HUMAN	RBFOX3	RNA binding protein fox-1 homolog 3	3.84615e+06
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	4.86577e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6.05202e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	1.35652e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	1.56821e+06
A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPYA_HUMAN	TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8	Testis-specific Y-encoded protein 2	4.86127e+06
A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1	2.8898e+07
A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	747875
A8MPP1;Q92771;Q96FC9	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11;DDX11L8;DDX12P	Putative ATP-dependent RNA helicase DDX11-like protein 8	1.59277e+07
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1.71559e+08
A8WHP8	PLIN1_CAEEL	plin-1	Perilipin-1 homolog	1.19037e+07
B0I1T2	MYO1G_HUMAN	MYO1G	Unconventional myosin-Ig	7.08577e+06
B1V8A0	SH3GH_CAEEL	unc-57	Endophilin-A homolog	7.79768e+06
B2D6K9	PPH6R_CAEEL	saps-1	Serine/threonine-protein phosphatase 6 regulatory subunit	860546
B2D6M2	LIN61_CAEEL	lin-61	Protein lin-61	1.08621e+06
B2FDA8	SMC3_CAEEL	smc-3	Structural maintenance of chromosomes protein 3	5.95949e+06
B7ZAQ6;P0CG08	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	2.57767e+06
B9A064;P0CG04;P0DOY2;P0DOY3	IGLC1_HUMAN;IGLC2_HUMAN;IGLC3_HUMAN;IGLL5_HUMAN	IGLC1;IGLC2;IGLC3;IGLL5	Immunoglobulin lambda-like polypeptide 5	885416
C0HKD6	SYWM_CAEEL	wars-2	Tryptophan--tRNA ligase, mitochondrial	1.20739e+07
C0HLB3;C0HLB4	VATL2_CAEEL;VATL3_CAEEL	vha-2;vha-3	V-type proton ATPase 16 kDa proteolipid subunit 2	1.00176e+07
C4AMC7;Q6VEQ5	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	872628
C6KRN1	SAO1_CAEEL	sao-1	Suppressor of aph-1	7.534e+06
D0PV95	DDX3_CAEEL	laf-1	ATP-dependent RNA helicase laf-1	7.58778e+07
D0VWM8	TADBP_CAEEL	tdp-1	Tar DNA-binding protein homolog 1	845779
D5MCN2	LARP1_CAEEL	larp-1	La-related protein 1	1.33014e+07
E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.09928e+08
E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	1.11137e+07
G4SLH0	TTN1_CAEEL	ttn-1	Titin homolog	8.32116e+06
G5EBV6	PGL3_CAEEL	pgl-3	Guanyl-specific ribonuclease pgl-3	6.2409e+06
G5EBZ4	LE418_CAEEL	let-418	Protein let-418	1.61272e+06
G5EC24	PTP2_CAEEL	ptp-2	Tyrosine-protein phosphatase non-receptor type ptp-2	489251
G5EC32	SRBS1_CAEEL	sorb-1	Sorbin and SH3 domain-containing protein 1 homolog	844796
G5EC86	MOE1_CAEEL	oma-1	CCCH-type zinc finger protein oma-1	542179
G5ECG0	TACC1_CAEEL	tac-1	Transforming acid coiled-coil-containing protein 1	592479
G5ECM9	CPI2_CAEEL	cpi-2	Cystatin cpi-2	2.54817e+07
G5ECN9	NEC2_CAEEL	egl-3	Neuroendocrine convertase 2	1.2998e+06
G5ECU1	SKR1_CAEEL	skr-1	Skp1-related protein	1.47041e+07
G5ECY0	DLG1_CAEEL	dlg-1	Disks large homolog 1	9.50075e+06
G5ED29	ATX2_CAEEL	atx-2	Ataxin-2 homolog	5.02154e+06
G5ED41	CAND1_CAEEL	cand-1	Cullin-associated NEDD8-dissociated protein 1	2.53996e+07
G5EDM4	NHRF1_CAEEL	nrfl-1	Na(+)/H(+) exchange regulatory cofactor-like protein nrfl-1	2.79796e+07
G5EDN6	CANB_CAEEL	cnb-1	Protein phosphatase 2B regulatory subunit cnb-1	2.08487e+06
G5EDP2	NLTP2_CAEEL	daf-22	Non-specific lipid-transfer protein-like 2	1.44447e+07
G5EDR3	2AB1_CAEEL	sur-6	Serine/threonine-protein phosphatase 2A regulatory subunit sur-6	6.28823e+06
G5EDW1	ADBP1_CAEEL	adbp-1	Adr-2-binding protein 1	801359
G5EDZ2	UMPS_CAEEL	umps-1	Uridine 5'-monophosphate synthase	7.90237e+06
G5EDZ9	CPI1_CAEEL	cpi-1	Cystatin cpi-1	1.5886e+07
G5EEG7	SMU1_CAEEL	smu-1	Smu-1 suppressor of mec-8 and unc-52 protein	1.14051e+06
G5EEH9	NUP98_CAEEL	npp-10	Nuclear pore complex protein Nup98-Nup96	2.99419e+06
G5EEI4	ASP1_CAEEL	asp-1	Aspartic protease 1	7.44668e+07
G5EEM5	ZYG9_CAEEL	zyg-9	Zygote defective protein 9	2.4457e+06
G5EEN4	GCK3_CAEEL	gck-3	Germinal center kinase 3	3.06661e+06
G5EER4	FCL_CAEEL	ger-1	GDP-L-fucose synthase	932107
G5EES6	UFD3_CAEEL	ufd-3	Ubiquitin fusion degradation protein 3 homolog	3.7257e+06
G5EF60	STIM1_CAEEL	stim-1	Stromal interaction molecule 1	2.15645e+06
G5EFF1	ASD2_CAEEL	asd-2	RNA-binding protein asd-2	1.49286e+06
G5EFF7	UBQL_CAEEL	ubql-1	Ubiquilin	1.3945e+07
G5EFS4	DCPS_CAEEL	dcs-1	m7GpppX diphosphatase	1.11784e+07
G5EFT4	AMP1_CAEEL	ltah-1.1	Aminopeptidase ltah-1.1	1.68206e+06
G5EFZ1	GPMI_CAEEL	ipgm-1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2.60174e+07
G5EG14	CATIN_CAEEL	cacn-1	Cactin	1.08201e+06
G5EGA5	FAT2_CAEEL	fat-2	Delta(12) fatty acid desaturase fat-2	3.00433e+06
G5EGA6	DHRS4_CAEEL	dhrs-4	Dehydrogenase/reductase SDR family member 4	1.02999e+07
G5EGH7	LON8_CAEEL	lon-8	Protein lon-8	6.95237e+06
G5EGK8	PP2A_CAEEL	let-92	Serine/threonine-protein phosphatase 2A catalytic subunit	4.48287e+07
G5EGN2	FAT6_CAEEL	fat-6	Delta(9)-fatty-acid desaturase fat-6	3.8285e+06
G5EGP8	CATZ1_CAEEL	cpz-1	Cathepsin Z-1	2.96867e+07
H1UBK1	MAP2_CAEEL	map-2	Methionine aminopeptidase 2	1.2064e+07
H2KYE0	NRA4_CAEEL	nra-4	Nicotinic receptor-associated protein 4	1.13999e+07
H2KYQ5	GYG1_CAEEL	gyg-1	Glycogenin-1	1.64041e+07
H2KYS8	CPNA1_CAEEL	cpna-1	Copine family protein 1	1.96164e+06
H2L045	TENSH_CAEEL	tns-1	Tensin homolog	2.4013e+06
H2L056	UBXN3_CAEEL	ubxn-3	UBX domain-containing protein 3	2.37162e+06
H2L0H5	WAPL_CAEEL	wapl-1	Wings apart-like protein homolog 1	377461
K8ESC5	ATG41_CAEEL	atg-4.1	Cysteine protease atg-4.1	1.26414e+06
L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein	5.06515e+06
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	8.84076e+06
O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.84531e+07
O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	4.80389e+06
O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5.88323e+07
O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	1.13076e+07
O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	1.95003e+07
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	1.70974e+07
O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	4.57985e+06
O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	2.17461e+06
O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	1.21603e+07
O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	7.84165e+06
O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	8.59903e+06
O00193	SMAP_HUMAN	SMAP	Small acidic protein	8.09751e+07
O00194	RB27B_HUMAN	RAB27B	Ras-related protein Rab-27B	882236
O00203	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	6.72296e+06
O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.14475e+07
O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	2.37367e+07
O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	1.54819e+07
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	9.81311e+06
O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1.16426e+07
O00255	MEN1_HUMAN	MEN1	Menin	1.61189e+06
O00257	CBX4_HUMAN	CBX4	E3 SUMO-protein ligase CBX4	3.42794e+06
O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	3.8776e+07
O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	1.3129e+07
O00268	TAF4_HUMAN	TAF4	Transcription initiation factor TFIID subunit 4	1.42666e+06
O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha	1.37687e+07
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	1.69721e+08
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	2.50558e+07
O00308	WWP2_HUMAN	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	9.30766e+06
O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	1.08158e+07
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6	2.62536e+06
O00400	ACATN_HUMAN	SLC33A1	Acetyl-coenzyme A transporter 1	1.7331e+06
O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	3.7531e+06
O00410	IPO5_HUMAN	IPO5	Importin-5	2.90721e+07
O00418	EF2K_HUMAN	EEF2K	Eukaryotic elongation factor 2 kinase	6.23929e+06
O00422	SAP18_HUMAN	SAP18	Histone deacetylase complex subunit SAP18	8.28136e+07
O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	4.01797e+07
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	1.56908e+07
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	3.85102e+06
O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	8.70699e+06
O00458	IFRD1_HUMAN	IFRD1	Interferon-related developmental regulator 1	1.52726e+06
O00459	P85B_HUMAN	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	605007
O00461	GOLI4_HUMAN	GOLIM4	Golgi integral membrane protein 4	2.03937e+06
O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	8.43854e+06
O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5	1.75418e+06
O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	8.6863e+06
O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	5.17417e+07
O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	3.27447e+07
O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	2.21035e+06
O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3.97174e+06
O00534	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	3.04284e+06
O00541	PESC_HUMAN	PES1	Pescadillo homolog	1.94262e+07
O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	3.84494e+06
O00562	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	2.24687e+06
O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	1.60711e+07
O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	6.53374e+07
O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	8.42922e+07
O00584	RNT2_HUMAN	RNASET2	Ribonuclease T2	1.63025e+06
O00592	PODXL_HUMAN	PODXL	Podocalyxin	3.38835e+07
O00625	PIR_HUMAN	PIR	Pirin	2.24882e+07
O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	1.22832e+07
O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	2.2751e+06
O00743	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	8.21516e+06
O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	199161
O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	2.09172e+06
O00757;P09201;P09467	F16P1_HUMAN;F16P2_HUMAN;F16P_YEAST	FBP1;FBP2	Fructose-1,6-bisphosphatase isozyme 2	1.16853e+07
O00762	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	6.34675e+06
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase	1.43714e+07
O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	2.45312e+07
O01159	RSP7_CAEEL	rsp-7	Probable splicing factor, arginine/serine-rich 7	1.54461e+06
O01422	CSN2_CAEEL	csn-2	COP9 signalosome complex subunit 2	830553
O01479	TMOD_CAEEL	unc-94	Tropomodulin	2.8895e+06
O01498	STAM1_CAEEL	stam-1	Signal transducing adapter molecule 1	1.95523e+06
O01504	RLA2_CAEEL	C37A2.7	60S acidic ribosomal protein P2	4.19512e+08
O01513	YS4L_CAEEL	C48B6.2	Putative 40S ribosomal protein S4-like	1.95255e+06
O01530	ASP6_CAEEL	asp-6	Aspartic protease 6	5.94095e+07
O01541	SYAC_CAEEL	aars-2	Alanine--tRNA ligase, cytoplasmic	1.37349e+07
O01578	MPC2_CAEEL	mpc-2	Probable mitochondrial pyruvate carrier 2	4.34006e+06
O01592	CYSK3_CAEEL	cysl-3	Cysteine synthase 3	7.07659e+06
O01615	AN322_CAEEL	T19H12.2	Acidic leucine-rich nuclear phosphoprotein 32-related protein 2	1.69177e+07
O01634	INX12_CAEEL	inx-12	Innexin-12	2.31408e+06
O01658	NO66_CAEEL	jmjc-1	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	1.15327e+06
O01683	SSP1B_CAEEL	hmg-3	FACT complex subunit ssrp1-B	1.88879e+06
O01692	RS17_CAEEL	rps-17	40S ribosomal protein S17	1.29401e+08
O01757	NAT10_CAEEL	nath-10	RNA cytidine acetyltransferase	1.93967e+06
O01761	UNC89_CAEEL	unc-89	Muscle M-line assembly protein unc-89	4.84125e+07
O01763	NCBP1_CAEEL	ncbp-1	Nuclear cap-binding protein subunit 1	2.05171e+06
O01789	SMC1_CAEEL	him-1	Structural maintenance of chromosomes protein 1	1.70283e+06
O01802	RL7_CAEEL	rpl-7	60S ribosomal protein L7	1.52965e+08
O01803	RB11A_CAEEL	rab-11.1	Ras-related protein rab-11.1	9.75773e+06
O01805	ACBP1_CAEEL	acbp-1	Acyl-CoA-binding protein homolog 1	1.30981e+08
O01812	FABP6_CAEEL	lbp-6	Fatty acid-binding protein homolog 6	1.86888e+08
O01814	FABP5_CAEEL	lbp-5	Fatty acid-binding protein homolog 5	1.43365e+07
O01824	PDXK_CAEEL	pdxk-1	Putative pyridoxal kinase	1.42223e+06
O01829;Q21289	SSP10_CAEEL;SSP19_CAEEL	ssp-10;ssp-19	Sperm-specific class P protein 19	2.4576e+06
O01868	RL24_CAEEL	rpl-24.1	60S ribosomal protein L24	8.49878e+07
O01884	COQ6_CAEEL	coq-6	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	335195
O01925	MBOA5_CAEEL	mboa-6	Lysophospholipid acyltransferase 5	2.7743e+06
O01971	EMR1_CAEEL	emr-1	Emerin homolog 1	4.76083e+06
O01974	EIF3H_CAEEL	eif-3.H	Eukaryotic translation initiation factor 3 subunit H	1.03774e+07
O02056	RL4_CAEEL	rpl-4	60S ribosomal protein L4	2.37976e+08
O02108	CDC37_CAEEL	cdc-37	Probable Hsp90 co-chaperone cdc37	9.18238e+06
O02115	PCNA_CAEEL	pcn-1	Proliferating cell nuclear antigen	1.49014e+07
O02161	TIM44_CAEEL	tin-44	Probable mitochondrial import inner membrane translocase subunit tin-44	3.84577e+06
O02218	LID1_CAEEL	lid-1	Abhydrolase domain-containing protein lid-1	168785
O02323	FABP7_CAEEL	lbp-7	Fatty acid-binding protein homolog 7	1.22501e+07
O02328	EIF3C_CAEEL	eif-3.C	Eukaryotic translation initiation factor 3 subunit C	1.86749e+07
O02365	IFA2_CAEEL	mua-6	Intermediate filament protein ifa-2	3.93305e+07
O02485	YDJ1_CAEEL	ZK1073.1	Uncharacterized protein ZK1073.1	8.12102e+06
O02495	SYB1_CAEEL	snb-1	Synaptobrevin-1	8.7254e+06
O02621	GPX1_CAEEL	gpx-1	Glutathione peroxidase 1	1.85587e+06
O02639	RL19_CAEEL	rpl-19	60S ribosomal protein L19	1.18042e+08
O02640	MDHM_CAEEL	mdh-2	Probable malate dehydrogenase, mitochondrial	2.06062e+08
O02658;P91420	GLC7C_CAEEL;GLC7D_CAEEL	gsp-3;gsp-4	Serine/threonine-protein phosphatase PP1-gamma	237665
O13516	RS9A_YEAST	RPS9A	40S ribosomal protein S9-A	4.82706e+07
